First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL
,,,,TX,,9223 WIND CROWN,San Antonio,TX,78239,Notice of Foreclosure / Mortgage,NOFC,,26327,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,6326 INDIGO FOREST,San Antonio,TX,78239,Notice of Foreclosure / Mortgage,NOFC,,26328,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,2050 CINCINNATI AVE,San Antonio,TX,78228,Notice of Foreclosure / Mortgage,NOFC,,26329,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,3606 SOUTHPORT DRIVE,San Antonio,TX,78223,Notice of Foreclosure / Mortgage,NOFC,,26330,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,1215 LAMAR,San Antonio,TX,78202,Notice of Foreclosure / Mortgage,NOFC,,26331,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10351 ROSEWOOD CREEK,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26332,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,614 BARROW PEAK,San Antonio,TX,78251,Notice of Foreclosure / Mortgage,NOFC,,26333,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,13822 QUIET FOX LN,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26334,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4138 WINCHESTER COVE,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26335,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,12618 MONOCEROS,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26336,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,307 CEDRON CHASE,San Antonio,TX,78253,Notice of Foreclosure / Mortgage,NOFC,,26337,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,402 PRESTWICK BLVD,San Antonio,TX,78223,Notice of Foreclosure / Mortgage,NOFC,,26338,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,923 VANCE JACKSON RD,San Antonio,TX,78201,Notice of Foreclosure / Mortgage,NOFC,,26339,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,6830 AGUA CALIENTES,San Antonio,TX,78239,Notice of Foreclosure / Mortgage,NOFC,,26340,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,11771 PADDLEBROOK,San Antonio,TX,78253,Notice of Foreclosure / Mortgage,NOFC,,26341,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,1011 FABULOUS DR,San Antonio,TX,78213,Notice of Foreclosure / Mortgage,NOFC,,26342,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,105 REGINA ST,San Antonio,TX,78223,Notice of Foreclosure / Mortgage,NOFC,,26343,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,142 SOUTHILL,San Antonio,TX,78201,Notice of Foreclosure / Mortgage,NOFC,,26344,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,7131 GREAT LAKES DR,San Antonio,TX,78244,Notice of Foreclosure / Mortgage,NOFC,,26345,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,13815 LLAMA PLACE,San Antonio,TX,78252,Notice of Foreclosure / Mortgage,NOFC,,26346,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,13815 LLAMA PLACE,San Antonio,TX,78260,Notice of Foreclosure / Mortgage,NOFC,,26347,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,318 SURRELS AVE,San Antonio,TX,78228,Notice of Foreclosure / Mortgage,NOFC,,26348,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,11007 DREAMLAND DR,San Antonio,TX,78230,Notice of Foreclosure / Mortgage,NOFC,,26349,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,154 WEIZMANN ST,San Antonio,TX,78212,Notice of Foreclosure / Mortgage,NOFC,,26350,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,463 WAYSIDE DR,San Antonio,TX,78213,Notice of Foreclosure / Mortgage,NOFC,,26351,0.0,45,Pre-foreclosure,Bexar County GIS,
,,NULL 203 E LAMBERT ST,SAN ANTONIO,TX,78204,203 E LAMBERT ST,San Antonio,TX,,Notice of Foreclosure / Mortgage,NOFC,,26352,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,12247 SIRAGUSA,San Antonio,TX,78252,Notice of Foreclosure / Mortgage,NOFC,,26353,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,9202 NEW GUILBEAU RD,San Antonio,TX,78250,Notice of Foreclosure / Mortgage,NOFC,,26354,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,7731 NOPALITOS COVE,San Antonio,TX,78239,Notice of Foreclosure / Mortgage,NOFC,,26355,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,1066 HICKORY TRAIL ST,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26356,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,815 STONEWAY DR,San Antonio,TX,78258,Notice of Foreclosure / Mortgage,NOFC,,26357,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,14211 FAIRLEE,San Antonio,TX,78217,Notice of Foreclosure / Mortgage,NOFC,,26358,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,1115 GALAPAGOS,San Antonio,TX,78214,Notice of Foreclosure / Mortgage,NOFC,,26359,0.0,45,Pre-foreclosure,Bexar County GIS,
,,NULL 2014 S TRINITY ST,SAN ANTONIO,TX,78207,2014 S TRINITY ST,San Antonio,TX,,Notice of Foreclosure / Mortgage,NOFC,,26360,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5326 SAN SIMEON DR,San Antonio,TX,78228,Notice of Foreclosure / Mortgage,NOFC,,26361,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,215 OAKLEAF DR,San Antonio,TX,78209,Notice of Foreclosure / Mortgage,NOFC,,26362,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10411 GREEN LAKE DR,San Antonio,TX,78223,Notice of Foreclosure / Mortgage,NOFC,,26363,0.0,45,Pre-foreclosure,Bexar County GIS,
,,NULL 215 W MISTLETOE AVE,SAN ANTONIO,TX,78212,215 W MISTLETOE AVE,San Antonio,TX,,Notice of Foreclosure / Mortgage,NOFC,,26364,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,101 WILDROSE AVE,San Antonio,TX,78209,Notice of Foreclosure / Mortgage,NOFC,,26365,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,8023 SHEPPARD KNOLL,San Antonio,TX,78227,Notice of Foreclosure / Mortgage,NOFC,,26366,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,9721 GREEN PLAIN DR,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26367,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,115 HAVERFORD DR,San Antonio,TX,78217,Notice of Foreclosure / Mortgage,NOFC,,26368,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,12207 MEDINA MILL,San Antonio,TX,78253,Notice of Foreclosure / Mortgage,NOFC,,26369,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,716 FLORIDA ST,San Antonio,TX,78210,Notice of Foreclosure / Mortgage,NOFC,,26370,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5314 MAPLE VISTA,San Antonio,TX,78247,Notice of Foreclosure / Mortgage,NOFC,,26371,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,17507 SAPPHIRE RIM DR,San Antonio,TX,78232,Notice of Foreclosure / Mortgage,NOFC,,26372,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,13107 PHAETHON ST,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26373,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,13350 LOMA BONITA,San Antonio,TX,78233,Notice of Foreclosure / Mortgage,NOFC,,26374,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,430 KAREN LN,San Antonio,TX,78209,Notice of Foreclosure / Mortgage,NOFC,,26375,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,12727 VISTA DEL NORTE,San Antonio,TX,78216,Notice of Foreclosure / Mortgage,NOFC,,26376,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,822 COWHIDE DR,San Antonio,TX,78260,Notice of Foreclosure / Mortgage,NOFC,,26377,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,310 CYPRESS GARDENS DR,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26378,0.0,45,Pre-foreclosure,Bexar County GIS,
